"filename", "language", "JavaScript", "HTML", "Markdown", "JSON", "JavaScript JSX", "CSS", "JSON with Comments", "XML", "C#", "Properties", "comment", "blank", "total"
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Main\Main.jsx", "JavaScript JSX", 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 2, 12, 202
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Modal\WarningModal.css", "CSS", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 2, 4, 86
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Modal\WarningModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 31
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Navbar\Navbar.css", "CSS", 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 6, 21, 201
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Navbar\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 1, 5, 104
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Quiz\DragAndSortQ.jsx", "JavaScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 3, 7, 62
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Quiz\MultiSelectQ.jsx", "JavaScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 4, 41
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Quiz\OpenEndedQ.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 3, 25
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Quiz\QuestionPicker.jsx", "JavaScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 4, 9, 59
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Quiz\Questions.css", "CSS", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 9, 6, 76
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Quiz\SingleSelectQ.jsx", "JavaScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 5, 41
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Quiz\TimeBar.css", "CSS", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 4, 0, 40
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Quiz\TimeBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 4, 9, 84
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Quiz\TrueOrFalseQ.jsx", "JavaScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 4, 36
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Video\CourseVideo.css", "CSS", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 7, 6, 48
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Video\CourseVideo.jsx", "JavaScript JSX", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 7, 8, 85
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Video\FullProgressBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Video\ProgressBar.css", "CSS", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 3, 1, 31
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Video\ProgressBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Video\VideoButtonContainer.css", "CSS", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 3, 5, 59
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Video\VideoButtonContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 9, 8, 101
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Window\BottomContent.jsx", "JavaScript JSX", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 4, 53
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Window\Window.css", "CSS", 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 19, 12, 201
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Window\Window.jsx", "JavaScript JSX", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 1, 5, 87
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Window\WindowButtons.jsx", "JavaScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 10, 3, 56
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Window\WindowContent.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 5, 24
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Window\WindowHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 8, 3, 20
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Window\WindowTabs.jsx", "JavaScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 3, 6, 62
"d:\Work\Arcelik\Projects\ArcelikAI\src\hooks\useVideoPlayer.jsx", "JavaScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 5, 11, 121
"d:\Work\Arcelik\Projects\ArcelikAI\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Work\Arcelik\Projects\ArcelikAI\src\layouts\RootLayout.css", "CSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 1, 9
"d:\Work\Arcelik\Projects\ArcelikAI\src\layouts\RootLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"d:\Work\Arcelik\Projects\ArcelikAI\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Work\Arcelik\Projects\ArcelikAI\src\pages\Anteroom.jsx", "JavaScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 6, 46
"d:\Work\Arcelik\Projects\ArcelikAI\src\pages\Form.css", "CSS", 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 6, 6, 99
"d:\Work\Arcelik\Projects\ArcelikAI\src\pages\Form.jsx", "JavaScript JSX", 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 1, 18, 229
"d:\Work\Arcelik\Projects\ArcelikAI\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Work\Arcelik\Projects\ArcelikAI\src\pages\NotFound.css", "CSS", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
"d:\Work\Arcelik\Projects\ArcelikAI\src\pages\NotFound.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Work\Arcelik\Projects\ArcelikAI\src\redux\navIndexSlice.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\Work\Arcelik\Projects\ArcelikAI\src\redux\quizSlice.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 87
"d:\Work\Arcelik\Projects\ArcelikAI\src\redux\settingSlice.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\Work\Arcelik\Projects\ArcelikAI\src\redux\store.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"d:\Work\Arcelik\Projects\ArcelikAI\src\redux\userSlice.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 66
"d:\Work\Arcelik\Projects\ArcelikAI\src\redux\videoSlice.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 117
"d:\Work\Arcelik\Projects\ArcelikAI\src\redux\windowSlice.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 50
"d:\Work\Arcelik\Projects\ArcelikAI\src\utils\guides.jsx", "JavaScript JSX", 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 24, 4, 213
"d:\Work\Arcelik\Projects\ArcelikAI\src\utils\questions.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 3, 200
"d:\Work\Arcelik\Projects\ArcelikAI\src\utils\settings.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\Work\Arcelik\Projects\ArcelikAI\src\utils\trash.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 35
"d:\Work\Arcelik\Projects\ArcelikAI\vite.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"Total", "-", 482, 13, 5, 10136, 2246, 1273, 6, 139, 2998, 19, 428, 983, 18728
